phase,streams,family,role,installed_box,profile_windows,profiled_seconds,frames,rows,rows_per_frame,compute_ms_per_row,attention_ms_per_row,moe_ms_per_row,moe_fallbacks,moe_nonfinite,spec_sent,spec_hits,spec_misses,system_samples,mean_pkg_w,mean_mhz,mean_temp,mean_swapin_s,min_mem_available_mib
mixed_a_c064,64,mixed,8,0,6,60.31,545,3174,5.823853211009174,17.36767485822306,2.2199117832388153,12.921865154379333,0,0,0,0,0,25,23.196,1835.48,59,0,7557
mixed_a_c064,64,mixed,9,9,6,60.341,561,3264,5.818181818181818,15.089460784313726,1.8936887254901962,11.549938725490197,0,0,0,0,0,25,23.344,2000.92,63.36,0,6560
mixed_a_c064,64,mixed,10,10,7,70.453,648,3767,5.813271604938271,13.296522431643217,1.9325723387310858,8.69949561985665,23,23,0,0,0,25,25.32,2343.28,65.48,1041.72,6163
mixed_a_c096,96,mixed,0,8,12,121.648,658,5742,8.72644376899696,13.769592476489029,1.4472309299895507,9.850923023336817,0,0,0,0,0,39,17.587179487179487,1750.3076923076924,62.256410256410255,0,16796
mixed_a_c096,96,mixed,1,1,9,90.79,477,4163,8.727463312368974,18.72111458083113,1.660341100168148,15.298582752822483,0,0,0,0,0,39,21.70769230769231,1637.025641025641,59.38461538461539,9.846153846153847,6952
mixed_a_c096,96,mixed,2,2,14,141.109,760,6633,8.727631578947369,19.989446705864616,1.7473239861299563,16.578320518619027,0,0,0,0,0,39,21.774358974358975,1749.3589743589744,59.97435897435897,14.179487179487179,6095
mixed_a_c096,96,mixed,3,3,11,112.072,596,5202,8.728187919463087,21.39504036908881,2.0945790080738176,17.538831218762013,0,0,0,0,0,39,22.353846153846153,1652.5897435897436,60.97435897435897,196.28205128205127,6939
mixed_a_c096,96,mixed,4,4,8,80.833,439,3831,8.726651480637813,18.376664056382147,1.7131297311406943,14.895588619159488,0,0,0,0,0,39,22.402564102564103,1517.051282051282,58.333333333333336,0.02564102564102564,5991
mixed_a_c096,96,mixed,5,5,11,111.364,597,5213,8.731993299832496,18.280836370611933,1.649721849223096,14.668137348935353,0,0,0,0,0,39,22.753846153846155,1560.2051282051282,58.23076923076923,0.02564102564102564,5991
mixed_a_c096,96,mixed,6,6,13,131.316,706,6162,8.728045325779037,18.260142810775722,1.6614735475494968,14.87065887698799,0,0,0,0,0,39,21.49230769230769,1723.3846153846155,57.8974358974359,0,6149
mixed_a_c096,96,mixed,7,7,11,110.977,585,5106,8.728205128205127,18.110849980415196,1.654524089306698,14.68605562083823,0,0,0,0,0,39,21.83076923076923,1685.5897435897436,59.05128205128205,0,5971
mixed_a_c096,96,mixed,8,0,12,121.204,654,5707,8.726299694189603,18.92412826353601,1.7333099702120203,15.531102155247941,0,0,0,0,0,39,23.17948717948718,1809.8461538461538,59.53846153846154,1.2307692307692308,6703
mixed_a_c096,96,mixed,9,9,9,90.839,490,4276,8.726530612244899,16.144761459307766,1.4055191768007484,13.438260056127222,0,0,0,0,0,39,22.984615384615385,1856.1538461538462,62.666666666666664,0,5789
mixed_a_c096,96,mixed,10,10,14,142.029,766,6684,8.725848563968668,14.002992220227409,1.4498803111909035,10.098444045481747,33,33,0,0,0,39,22.38974358974359,1845.6666666666667,64.28205128205128,455.8974358974359,5256
mixed_a_c128,128,mixed,0,8,15,151.945,661,7693,11.638426626323751,12.794098531132198,1.0948914597686208,9.699857012868842,0,0,0,0,0,42,18.835714285714285,1636.857142857143,62.42857142857143,0.11904761904761904,15943
